participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.aa_treatment,player.ra_treatment,player.action1_b,player.green_red,player.a_or_b,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,lmvt2hx1,,0,26,25,v3_ra_outro,Dropouts,10.95.241.53,2019-03-11 14:29:39.747223+00:00,1,A6HKCHY1RVBK7,3UNH76FOCTVN76H04KIUFNBAZDYMYD,0.00,1,0,1,1,7,52,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
2,jb2iwvvu,,0,1,25,v3_ra_intro,Introduction,10.41.241.211,2019-03-11 14:29:39.888121+00:00,1,A2ZNOMZ35LKY8Q,33NF62TLXKS2MTMYX84BQN4IX4UKJC,0.00,2,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
3,6ddfl4aj,,0,26,25,v3_ra_outro,Dropouts,10.142.105.142,2019-03-11 14:29:43.443591+00:00,1,A2VFEDAK5C1E1O,33M4IA01QHRP4H4I4WS9I8YB3U3XR6,1.00,3,0,1,0,14,86,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
4,90p7e5q6,,0,26,25,v3_ra_outro,Dropouts,10.69.114.209,2019-03-11 14:29:43.721755+00:00,1,A1AZTE5W2MF1TU,3COPXFW7XC2Y84PWSL9VNJQU630KPC,0.00,4,0,1,0,67,47,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
5,b31zit2d,,0,26,25,v3_ra_outro,Dropouts,10.81.252.246,2019-03-11 14:29:43.756061+00:00,1,A3HE8VNBXD2BR0,31UV0MXWNR239ZHP83F5CX60NZAI5D,3.00,5,0,1,1,0,6,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
6,6he12c9v,,0,2,25,v3_ra_intro,Instructions1,10.45.210.139,2019-03-11 14:29:44.081079+00:00,1,ADT6AD3LK64AH,3I2PTA7R3UKJ8GQBSYOKNOG4BZMKQ3,0.00,6,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
7,e9iozqw6,,0,1,25,v3_ra_intro,Introduction,10.5.158.176,2019-03-11 14:29:45.386373+00:00,1,A3E3RCR51Z8EVP,3O6CYIULEER2V9R9YLRSL07O1R1UWE,0.00,7,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
8,o607ca3j,,0,1,25,v3_ra_intro,Introduction,10.65.230.245,2019-03-11 14:29:45.414949+00:00,1,A1B76WYZ47BQJ,3KAKFY4PGVS0VKULUKRCX08G93JI3N,0.00,8,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
9,e1m9w8zd,,0,26,25,v3_ra_outro,Dropouts,10.11.149.224,2019-03-11 14:29:45.640101+00:00,1,AAASQIW3J32OL,3Z3ZLGNNSJKDCII47SWL62Z20D0Q3Y,0.00,9,0,1,0,48,27,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
10,yvkbhjo3,,0,26,25,v3_ra_outro,Dropouts,10.178.148.97,2019-03-11 14:29:46.583791+00:00,1,A2UUKFTD0VUX2S,3X87C8JFV71HWZ3JX7XMEA7ESTZSQS,0.00,10,0,1,1,4,3,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
